customer_id	gadget	revenues
K100010	C	28
K100010	E	52
K100010	F	61
K100010	K	109
K100020	A	11
K100020	F	61
K100020	G	69
K100030	A	8
K100030	B	23
K100030	D	35
K100030	H	81
K100030	I	90
K100030	J	99
K100030	L	119
K100040	A	13
K100040	B	18
K100040	D	41
K100070	C	32
K100070	F	62
K100080	I	86
K100090	H	80
K100090	I	91
K100100	A	7
K100100	B	23
K100100	D	41
K100110	D	39
K100120	L	117
K100130	B	24
K100130	C	31
K100130	E	50
K100130	I	92
K100140	H	79
K100140	L	119
K100150	B	23
K100150	C	27
K100150	D	37
K100150	G	73
K100160	K	109
K100180	F	58
K100180	H	82
K100180	J	105
K100200	F	56
K100200	G	69
K100220	E	50
K100230	K	108
K100240	I	92
K100260	H	76
K100260	I	91
K100260	L	117
K100270	A	15
K100270	B	19
K100270	J	109
K100280	K	108
K100290	B	21
K100290	G	68
K100290	H	80
K100310	A	9
K100310	C	34
K100310	D	42
K100310	H	85
K100310	I	88
K100310	K	110
K100320	A	7
K100320	B	17
K100320	D	41
K100320	H	81
K100320	J	97
K100330	C	31
K100340	E	48
K100340	G	72
K100340	I	85
K100340	J	102
K100360	B	19
K100360	C	29
K100360	D	39
K100360	L	119
K100370	B	17
K100370	E	47
K100370	H	80
K100380	B	20
K100380	D	40
K100390	B	18
K100390	C	31
K100410	H	80
K100410	J	101
K100410	L	117
K100420	J	100
K100420	K	112
K100430	E	46
K100430	G	70
K100430	J	102
K100460	A	11
K100460	C	30
K100460	D	37
K100470	G	70
K100480	J	97
K100480	K	109
K100490	L	120
K100510	H	82
K100520	L	119
K100530	K	112
K100540	A	6
K100540	D	43
K100550	C	26
K100550	I	93
K100560	E	54
K100560	F	62
K100570	F	59
K100570	G	68
K100580	G	64
K100590	A	6
K100590	B	20
K100590	C	31
K100600	H	83
K100620	H	79
K100620	I	92
K100620	J	98
K100630	A	9
K100640	F	62
K100640	G	64
K100650	B	19
K100650	L	120
K100660	F	60
K100690	A	12
K100690	C	30
K100690	D	42
K100690	E	50
K100690	F	58
K100690	H	80
K100690	I	84
K100690	K	107
K100700	E	50
K100700	G	72
K100700	H	77
K100700	K	114
K100710	F	62
K100720	B	21
K100720	C	31
K100720	D	41
K100720	I	84
K100740	J	101
K100740	K	112
K100750	F	61
K100770	H	78
K100770	I	92
K100770	L	124
K100780	A	10
K100780	B	21
K100780	D	40
K100780	E	52
K100780	F	62
K100790	G	73
K100800	B	16
K100800	E	54
K100800	F	60
K100800	H	81
K100800	I	91
